first 743, 19/12/2022 18:04:49
last 777, 19/12/2022 18:04:49
first 742, 19/12/2022 18:04:49
last 778, 19/12/2022 18:04:49
first 740, 19/12/2022 18:04:49
last 780, 19/12/2022 18:04:49
first 739, 19/12/2022 18:04:49
last 781, 19/12/2022 18:04:49
first 738, 19/12/2022 18:04:49
last 782, 19/12/2022 18:04:49
first 737, 19/12/2022 18:04:49
last 783, 19/12/2022 18:04:49
first 736, 19/12/2022 18:04:49
last 784, 19/12/2022 18:04:49
first 736, 19/12/2022 18:04:49
last 784, 19/12/2022 18:04:49
first 735, 19/12/2022 18:04:49
last 785, 19/12/2022 18:04:49
first 734, 19/12/2022 18:04:49
last 786, 19/12/2022 18:04:49
first 734, 19/12/2022 18:04:49
last 786, 19/12/2022 18:04:49
first 733, 19/12/2022 18:04:49
last 787, 19/12/2022 18:04:49
first 732, 19/12/2022 18:04:49
last 788, 19/12/2022 18:04:49
first 732, 19/12/2022 18:04:49
last 788, 19/12/2022 18:04:49
first 732, 19/12/2022 18:04:49
last 788, 19/12/2022 18:04:49
first 731, 19/12/2022 18:04:49
last 789, 19/12/2022 18:04:49
first 731, 19/12/2022 18:04:49
last 789, 19/12/2022 18:04:49
first 731, 19/12/2022 18:04:49
last 789, 19/12/2022 18:04:49
first 730, 19/12/2022 18:04:49
last 790, 19/12/2022 18:04:49
cx 760 cy 213, 19/12/2022 18:04:49
 beginning of the function, 19/12/2022 18:04:54
first 732, 19/12/2022 18:04:54
last 748, 19/12/2022 18:04:54
first 729, 19/12/2022 18:04:54
last 751, 19/12/2022 18:04:54
first 726, 19/12/2022 18:04:54
last 754, 19/12/2022 18:04:54
first 725, 19/12/2022 18:04:54
last 755, 19/12/2022 18:04:54
first 723, 19/12/2022 18:04:54
last 757, 19/12/2022 18:04:54
first 722, 19/12/2022 18:04:54
last 758, 19/12/2022 18:04:54
first 720, 19/12/2022 18:04:54
last 760, 19/12/2022 18:04:54
first 719, 19/12/2022 18:04:54
last 761, 19/12/2022 18:04:54
first 718, 19/12/2022 18:04:54
last 762, 19/12/2022 18:04:54
first 717, 19/12/2022 18:04:54
last 763, 19/12/2022 18:04:54
first 716, 19/12/2022 18:04:54
last 764, 19/12/2022 18:04:54
first 716, 19/12/2022 18:04:54
last 764, 19/12/2022 18:04:54
first 715, 19/12/2022 18:04:54
last 765, 19/12/2022 18:04:54
first 714, 19/12/2022 18:04:54
last 766, 19/12/2022 18:04:54
first 714, 19/12/2022 18:04:54
last 766, 19/12/2022 18:04:54
first 713, 19/12/2022 18:04:54
last 767, 19/12/2022 18:04:54
first 712, 19/12/2022 18:04:54
last 768, 19/12/2022 18:04:54
first 712, 19/12/2022 18:04:54
last 768, 19/12/2022 18:04:54
first 712, 19/12/2022 18:04:54
last 768, 19/12/2022 18:04:54
first 711, 19/12/2022 18:04:54
last 769, 19/12/2022 18:04:54
first 711, 19/12/2022 18:04:54
last 769, 19/12/2022 18:04:54
first 711, 19/12/2022 18:04:54
last 769, 19/12/2022 18:04:54
first 710, 19/12/2022 18:04:54
last 770, 19/12/2022 18:04:54
cx 740 cy 213, 19/12/2022 18:04:54
 beginning of the function, 19/12/2022 18:04:59
first 732, 19/12/2022 18:04:59
last 748, 19/12/2022 18:04:59
first 729, 19/12/2022 18:04:59
last 751, 19/12/2022 18:04:59
first 726, 19/12/2022 18:04:59
last 754, 19/12/2022 18:04:59
first 725, 19/12/2022 18:04:59
last 755, 19/12/2022 18:04:59
first 723, 19/12/2022 18:04:59
last 757, 19/12/2022 18:04:59
first 722, 19/12/2022 18:04:59
last 758, 19/12/2022 18:04:59
first 720, 19/12/2022 18:04:59
last 760, 19/12/2022 18:04:59
first 719, 19/12/2022 18:04:59
last 761, 19/12/2022 18:04:59
first 718, 19/12/2022 18:04:59
last 762, 19/12/2022 18:04:59
first 717, 19/12/2022 18:04:59
last 763, 19/12/2022 18:04:59
first 716, 19/12/2022 18:04:59
last 764, 19/12/2022 18:04:59
first 716, 19/12/2022 18:04:59
last 764, 19/12/2022 18:04:59
first 715, 19/12/2022 18:04:59
last 765, 19/12/2022 18:04:59
first 714, 19/12/2022 18:04:59
last 766, 19/12/2022 18:04:59
first 714, 19/12/2022 18:04:59
last 766, 19/12/2022 18:04:59
first 713, 19/12/2022 18:04:59
last 767, 19/12/2022 18:04:59
first 712, 19/12/2022 18:04:59
last 768, 19/12/2022 18:04:59
first 712, 19/12/2022 18:04:59
last 768, 19/12/2022 18:04:59
first 712, 19/12/2022 18:04:59
last 768, 19/12/2022 18:04:59
first 711, 19/12/2022 18:04:59
last 769, 19/12/2022 18:04:59
first 711, 19/12/2022 18:04:59
last 769, 19/12/2022 18:04:59
first 711, 19/12/2022 18:04:59
last 769, 19/12/2022 18:04:59
first 710, 19/12/2022 18:04:59
last 770, 19/12/2022 18:04:59
cx 740 cy 213, 19/12/2022 18:04:59
 beginning of the function, 19/12/2022 18:05:04
first 732, 19/12/2022 18:05:04
last 748, 19/12/2022 18:05:04
first 729, 19/12/2022 18:05:04
last 751, 19/12/2022 18:05:04
first 726, 19/12/2022 18:05:04
last 754, 19/12/2022 18:05:04
first 725, 19/12/2022 18:05:04
last 755, 19/12/2022 18:05:04
first 723, 19/12/2022 18:05:04
last 757, 19/12/2022 18:05:04
first 722, 19/12/2022 18:05:04
last 758, 19/12/2022 18:05:04
first 720, 19/12/2022 18:05:04
last 760, 19/12/2022 18:05:04
first 719, 19/12/2022 18:05:04
last 761, 19/12/2022 18:05:04
first 718, 19/12/2022 18:05:04
last 762, 19/12/2022 18:05:04
first 717, 19/12/2022 18:05:04
last 763, 19/12/2022 18:05:04
first 716, 19/12/2022 18:05:04
last 764, 19/12/2022 18:05:04
first 716, 19/12/2022 18:05:04
last 764, 19/12/2022 18:05:04
first 715, 19/12/2022 18:05:04
last 765, 19/12/2022 18:05:04
first 714, 19/12/2022 18:05:04
last 766, 19/12/2022 18:05:04
first 714, 19/12/2022 18:05:04
last 766, 19/12/2022 18:05:04
